,Año,Trimestre,Provincia,Accesos por cada 100 hogares
679,2015,1,Entre Ríos,42.07
680,2015,1,Formosa,18.12
681,2015,1,Jujuy,19.69
682,2015,1,La Pampa,55.51
683,2015,1,La Rioja,16.7
684,2015,1,Mendoza,32.37
685,2015,1,Misiones,26.31
686,2015,1,Neuquén,51.95
687,2015,1,Río Negro,45.33
688,2015,1,Salta,30.01
689,2015,1,San Juan,27.55
690,2015,1,San Luis,9.72
691,2015,1,Santa Cruz,27.99
692,2015,1,Santa Fe,50.24
693,2015,1,Santiago Del Estero,17.06
694,2015,1,Tierra Del Fuego,74.23
695,2015,1,Tucumán,35.08
696,2014,4,Buenos Aires,56.09
697,2014,4,Capital Federal,114.9
698,2014,4,Catamarca,25.51
699,2014,4,Chaco,21.87
700,2014,4,Chubut,40.25
701,2014,4,Córdoba,54.7
702,2014,4,Corrientes,23.56
703,2014,4,Entre Ríos,36.03
704,2014,4,Formosa,17.96
705,2014,4,Jujuy,19.6
706,2014,4,La Pampa,51.27
707,2014,4,La Rioja,17.01
708,2014,4,Mendoza,32.64
709,2014,4,Misiones,24.16
710,2014,4,Neuquén,52.55
711,2014,4,Río Negro,45.48
712,2014,4,Salta,29.53
713,2014,4,San Juan,28.04
714,2014,4,San Luis,9.79
715,2014,4,Santa Cruz,27.8
716,2014,4,Santa Fe,50.0
717,2014,4,Santiago Del Estero,17.27
718,2014,4,Tierra Del Fuego,66.14
719,2014,4,Tucumán,35.32
720,2014,3,Buenos Aires,56.75
721,2014,3,Capital Federal,113.8
722,2014,3,Catamarca,24.71
723,2014,3,Chaco,21.11
724,2014,3,Chubut,40.6
725,2014,3,Córdoba,54.23
726,2014,3,Corrientes,22.79
727,2014,3,Entre Ríos,34.98
728,2014,3,Formosa,17.77
729,2014,3,Jujuy,18.37
730,2014,3,La Pampa,55.78
731,2014,3,La Rioja,16.51
732,2014,3,Mendoza,32.31
733,2014,3,Misiones,23.57
734,2014,3,Neuquén,56.4
735,2014,3,Río Negro,46.2
736,2014,3,Salta,29.22
737,2014,3,San Juan,27.85
738,2014,3,San Luis,9.71
739,2014,3,Santa Cruz,28.23
740,2014,3,Santa Fe,49.2
741,2014,3,Santiago Del Estero,16.49
742,2014,3,Tierra Del Fuego,65.69
743,2014,3,Tucumán,33.94
744,2014,2,Buenos Aires,55.06
745,2014,2,Capital Federal,113.14
746,2014,2,Catamarca,24.7
747,2014,2,Chaco,20.96
748,2014,2,Chubut,41.41
749,2014,2,Córdoba,53.45
750,2014,2,Corrientes,22.58
751,2014,2,Entre Ríos,34.69
752,2014,2,Formosa,17.54
753,2014,2,Jujuy,18.71
754,2014,2,La Pampa,49.71
755,2014,2,La Rioja,16.5
756,2014,2,Mendoza,32.1
757,2014,2,Misiones,23.37
758,2014,2,Neuquén,50.84
759,2014,2,Río Negro,45.33
760,2014,2,Salta,28.91
761,2014,2,San Juan,27.78
762,2014,2,San Luis,9.72
763,2014,2,Santa Cruz,29.38
764,2014,2,Santa Fe,48.39
765,2014,2,Santiago Del Estero,16.7
766,2014,2,Tierra Del Fuego,64.36
767,2014,2,Tucumán,33.94
768,2014,1,Buenos Aires,54.57
769,2014,1,Capital Federal,112.25
770,2014,1,Catamarca,24.25
771,2014,1,Chaco,20.72
772,2014,1,Chubut,41.24
773,2014,1,Córdoba,52.52
774,2014,1,Corrientes,22.32
775,2014,1,Entre Ríos,34.37
776,2014,1,Formosa,17.42
777,2014,1,Jujuy,18.42
778,2014,1,La Pampa,48.43
779,2014,1,La Rioja,16.29
780,2014,1,Mendoza,31.91
781,2014,1,Misiones,23.14
782,2014,1,Neuquén,49.79
783,2014,1,Río Negro,44.91
784,2014,1,Salta,28.7
785,2014,1,San Juan,27.6
786,2014,1,San Luis,9.35
787,2014,1,Santa Cruz,28.94
788,2014,1,Santa Fe,47.85
789,2014,1,Santiago Del Estero,16.31
790,2014,1,Tierra Del Fuego,63.97
791,2014,1,Tucumán,33.42
